SITE,TYPE,DATE,NIGHT,PASSES,FEEDINGBUZZ,SOCIALCALL,Historical_Sites,HEIGHT,AREA,GREEN_AREA,SITE_VEGETATION_COVER,AVE_TEMP,Precipitation,GREEN_COVERAGE_100,GREEN_COVERAGE_150,GREEN_COVERAGE_200,BLUE_COVERAGE_100,BLUE_COVERAGE_150,BLUE_COVERAGE_200,Mean_50,SD_50,Max_50,Mean_100,SD_100,Max_100,Mean_150,SD_150,Max_150,Mean_200,SD_200,Max_200
100Liverpool,Extensive,2024/6/25,15,0,0,0,0,50,2334,397,17.01,21.42,0,1.16,0.91,1.99,0,0,0.18,25.825543,21.889454,65.97435,26.342593,21.958862,74.7071,22.844522,19.921743,74.7071,21.449465,19.938639,96.83301
100Liverpool,Extensive,2024/6/26,16,0,0,0,0,50,2334,397,17.01,23.12,0,1.16,0.91,1.99,0,0,0.18,25.825543,21.889454,65.97435,26.342593,21.958862,74.7071,22.844522,19.921743,74.7071,21.449465,19.938639,96.83301
100Liverpool,Extensive,2024/6/27,17,0,0,0,0,50,2334,397,17.01,16.64,0,1.16,0.91,1.99,0,0,0.18,25.825543,21.889454,65.97435,26.342593,21.958862,74.7071,22.844522,19.921743,74.7071,21.449465,19.938639,96.83301
100Liverpool,Extensive,2024/6/28,18,0,0,0,0,50,2334,397,17.01,16.4,0,1.16,0.91,1.99,0,0,0.18,25.825543,21.889454,65.97435,26.342593,21.958862,74.7071,22.844522,19.921743,74.7071,21.449465,19.938639,96.83301
100Liverpool,Extensive,2024/6/29,19,0,0,0,0,50,2334,397,17.01,20.27,0,1.16,0.91,1.99,0,0,0.18,25.825543,21.889454,65.97435,26.342593,21.958862,74.7071,22.844522,19.921743,74.7071,21.449465,19.938639,96.83301
100Liverpool,Extensive,2024/6/30,20,0,0,0,0,50,2334,397,17.01,15.97,0,1.16,0.91,1.99,0,0,0.18,25.825543,21.889454,65.97435,26.342593,21.958862,74.7071,22.844522,19.921743,74.7071,21.449465,19.938639,96.83301
100Liverpool,Extensive,2024/7/1,21,0,0,0,0,50,2334,397,17.01,16.95,0,1.16,0.91,1.99,0,0,0.18,25.825543,21.889454,65.97435,26.342593,21.958862,74.7071,22.844522,19.921743,74.7071,21.449465,19.938639,96.83301
110FetterLn,Intensive,2024/6/18,8,1,0,0,0,30,2621,193,7.36,16.45,0,6.9,6.85,5.34,0,0.02,0.03,18.01884,13.575732,36.984,16.486859,13.508864,59.669,17.476724,15.843295,77.68801,16.362233,14.614142,77.68801
110FetterLn,Intensive,2024/6/19,9,0,0,0,0,30,2621,193,7.36,13.65,0,6.9,6.85,5.34,0,0.02,0.03,18.01884,13.575732,36.984,16.486859,13.508864,59.669,17.476724,15.843295,77.68801,16.362233,14.614142,77.68801
110FetterLn,Intensive,2024/6/20,10,0,0,0,0,30,2621,193,7.36,16,0,6.9,6.85,5.34,0,0.02,0.03,18.01884,13.575732,36.984,16.486859,13.508864,59.669,17.476724,15.843295,77.68801,16.362233,14.614142,77.68801
110FetterLn,Intensive,2024/6/21,11,0,0,0,0,30,2621,193,7.36,17.03,0,6.9,6.85,5.34,0,0.02,0.03,18.01884,13.575732,36.984,16.486859,13.508864,59.669,17.476724,15.843295,77.68801,16.362233,14.614142,77.68801
110FetterLn,Intensive,2024/6/22,12,1,0,0,0,30,2621,193,7.36,17.64,0,6.9,6.85,5.34,0,0.02,0.03,18.01884,13.575732,36.984,16.486859,13.508864,59.669,17.476724,15.843295,77.68801,16.362233,14.614142,77.68801
110FetterLn,Intensive,2024/6/23,13,0,0,0,0,30,2621,193,7.36,20.61,0,6.9,6.85,5.34,0,0.02,0.03,18.01884,13.575732,36.984,16.486859,13.508864,59.669,17.476724,15.843295,77.68801,16.362233,14.614142,77.68801
110FetterLn,Intensive,2024/6/24,14,0,0,0,0,30,2621,193,7.36,20.86,0,6.9,6.85,5.34,0,0.02,0.03,18.01884,13.575732,36.984,16.486859,13.508864,59.669,17.476724,15.843295,77.68801,16.362233,14.614142,77.68801
120Fenchurch,Intensive,2024/6/12,2,0,0,0,0,65,2942,581,19.75,13.44,0,1.59,1.35,1.12,0,0,0,35.46314,30.679609,124.558,24.680118,31.527944,186.19201,21.97727,27.145057,186.19201,21.525155,25.036148,223.65701
120Fenchurch,Intensive,2024/6/13,3,0,0,0,0,65,2942,581,19.75,12.86,0.5,1.59,1.35,1.12,0,0,0,35.46314,30.679609,124.558,24.680118,31.527944,186.19201,21.97727,27.145057,186.19201,21.525155,25.036148,223.65701
120Fenchurch,Intensive,2024/6/16,6,0,0,0,0,65,2942,581,19.75,14.64,0,1.59,1.35,1.12,0,0,0,35.46314,30.679609,124.558,24.680118,31.527944,186.19201,21.97727,27.145057,186.19201,21.525155,25.036148,223.65701
120Fenchurch,Intensive,2024/6/17,7,0,0,0,0,65,2942,581,19.75,17.69,0,1.59,1.35,1.12,0,0,0,35.46314,30.679609,124.558,24.680118,31.527944,186.19201,21.97727,27.145057,186.19201,21.525155,25.036148,223.65701
120Fenchurch,Intensive,2024/6/14,4,0,0,0,0,65,2942,581,19.75,12.8,1.63,1.59,1.35,1.12,0,0,0,35.46314,30.679609,124.558,24.680118,31.527944,186.19201,21.97727,27.145057,186.19201,21.525155,25.036148,223.65701
120Fenchurch,Intensive,2024/6/15,5,0,0,0,0,65,2942,581,19.75,13.29,0.01,1.59,1.35,1.12,0,0,0,35.46314,30.679609,124.558,24.680118,31.527944,186.19201,21.97727,27.145057,186.19201,21.525155,25.036148,223.65701
120Fenchurch,Intensive,2024/6/11,1,0,0,0,0,65,2942,581,19.75,11.66,0,1.59,1.35,1.12,0,0,0,35.46314,30.679609,124.558,24.680118,31.527944,186.19201,21.97727,27.145057,186.19201,21.525155,25.036148,223.65701
1WoodSt,Extensive,2024/7/2,22,0,0,0,0,35,2246,1476,65.72,16.5,0,4.34,3.88,5.06,0,0.16,0.09,22.632975,14.395888,38.335,21.730044,14.871268,51.328,19.558216,14.762058,51.328,17.579156,14.32922,51.328
1WoodSt,Extensive,2024/7/3,23,0,0,0,0,35,2246,1476,65.72,16.98,0,4.34,3.88,5.06,0,0.16,0.09,22.632975,14.395888,38.335,21.730044,14.871268,51.328,19.558216,14.762058,51.328,17.579156,14.32922,51.328
1WoodSt,Extensive,2024/7/4,24,0,0,0,0,35,2246,1476,65.72,16.85,0,4.34,3.88,5.06,0,0.16,0.09,22.632975,14.395888,38.335,21.730044,14.871268,51.328,19.558216,14.762058,51.328,17.579156,14.32922,51.328
1WoodSt,Extensive,2024/7/5,25,0,0,0,0,35,2246,1476,65.72,16.62,11.9,4.34,3.88,5.06,0,0.16,0.09,22.632975,14.395888,38.335,21.730044,14.871268,51.328,19.558216,14.762058,51.328,17.579156,14.32922,51.328
1WoodSt,Extensive,2024/7/6,26,0,0,0,0,35,2246,1476,65.72,13.61,0,4.34,3.88,5.06,0,0.16,0.09,22.632975,14.395888,38.335,21.730044,14.871268,51.328,19.558216,14.762058,51.328,17.579156,14.32922,51.328
1WoodSt,Extensive,2024/7/7,27,0,0,0,0,35,2246,1476,65.72,14.12,0.1,4.34,3.88,5.06,0,0.16,0.09,22.632975,14.395888,38.335,21.730044,14.871268,51.328,19.558216,14.762058,51.328,17.579156,14.32922,51.328
1WoodSt,Extensive,2024/7/8,28,0,0,0,0,35,2246,1476,65.72,15.81,4.4,4.34,3.88,5.06,0,0.16,0.09,22.632975,14.395888,38.335,21.730044,14.871268,51.328,19.558216,14.762058,51.328,17.579156,14.32922,51.328
60LondonWall,Extensive,2024/6/18,8,0,0,0,0,50,2229,95,4.26,16.47,0,1.87,5.33,6.82,0,0,0,32.832235,18.388247,69.74701,23.485149,18.13444,69.74701,20.212627,18.260629,102.329,18.433111,16.823657,102.329
60LondonWall,Extensive,2024/6/19,9,0,0,0,0,50,2229,95,4.26,14.14,0,1.87,5.33,6.82,0,0,0,32.832235,18.388247,69.74701,23.485149,18.13444,69.74701,20.212627,18.260629,102.329,18.433111,16.823657,102.329
60LondonWall,Extensive,2024/6/20,10,0,0,0,0,50,2229,95,4.26,16.19,0,1.87,5.33,6.82,0,0,0,32.832235,18.388247,69.74701,23.485149,18.13444,69.74701,20.212627,18.260629,102.329,18.433111,16.823657,102.329
60LondonWall,Extensive,2024/6/21,11,0,0,0,0,50,2229,95,4.26,17.38,0,1.87,5.33,6.82,0,0,0,32.832235,18.388247,69.74701,23.485149,18.13444,69.74701,20.212627,18.260629,102.329,18.433111,16.823657,102.329
60LondonWall,Extensive,2024/6/22,12,0,0,0,0,50,2229,95,4.26,18.14,0,1.87,5.33,6.82,0,0,0,32.832235,18.388247,69.74701,23.485149,18.13444,69.74701,20.212627,18.260629,102.329,18.433111,16.823657,102.329
60LondonWall,Extensive,2024/6/23,13,0,0,0,0,50,2229,95,4.26,20.96,0,1.87,5.33,6.82,0,0,0,32.832235,18.388247,69.74701,23.485149,18.13444,69.74701,20.212627,18.260629,102.329,18.433111,16.823657,102.329
60LondonWall,Extensive,2024/6/24,14,0,0,0,0,50,2229,95,4.26,21.35,0,1.87,5.33,6.82,0,0,0,32.832235,18.388247,69.74701,23.485149,18.13444,69.74701,20.212627,18.260629,102.329,18.433111,16.823657,102.329
79ChaterhouseSt,Conventional,2024/6/25,15,2,0,0,1,12,176,0,0,21.27,0,2.94,2.99,5.81,0,0,0,7.163794,6.869716,25.443,8.507532,7.146841,30.912,9.316207,7.784258,50.30143,9.860324,8.990199,72.26201
79ChaterhouseSt,Conventional,2024/6/26,16,0,0,0,1,12,176,0,0,23.47,0,2.94,2.99,5.81,0,0,0,7.163794,6.869716,25.443,8.507532,7.146841,30.912,9.316207,7.784258,50.30143,9.860324,8.990199,72.26201
79ChaterhouseSt,Conventional,2024/6/27,17,0,0,0,1,12,176,0,0,16.62,0,2.94,2.99,5.81,0,0,0,7.163794,6.869716,25.443,8.507532,7.146841,30.912,9.316207,7.784258,50.30143,9.860324,8.990199,72.26201
79ChaterhouseSt,Conventional,2024/6/28,18,0,0,0,1,12,176,0,0,16.5,0,2.94,2.99,5.81,0,0,0,7.163794,6.869716,25.443,8.507532,7.146841,30.912,9.316207,7.784258,50.30143,9.860324,8.990199,72.26201
79ChaterhouseSt,Conventional,2024/6/29,19,3,0,0,1,12,176,0,0,20.7,0,2.94,2.99,5.81,0,0,0,7.163794,6.869716,25.443,8.507532,7.146841,30.912,9.316207,7.784258,50.30143,9.860324,8.990199,72.26201
79ChaterhouseSt,Conventional,2024/6/30,20,0,0,0,1,12,176,0,0,16.83,0,2.94,2.99,5.81,0,0,0,7.163794,6.869716,25.443,8.507532,7.146841,30.912,9.316207,7.784258,50.30143,9.860324,8.990199,72.26201
79ChaterhouseSt,Conventional,2024/7/1,21,0,0,0,1,12,176,0,0,17.77,0,2.94,2.99,5.81,0,0,0,7.163794,6.869716,25.443,8.507532,7.146841,30.912,9.316207,7.784258,50.30143,9.860324,8.990199,72.26201
BarberSurgeons,Garden,2024/6/25,15,121,20,10,1,0,3430,3220,93.88,22.45,0,15.81,13.14,15.25,6.52,4.64,5.48,10.777651,18.759886,75.279,12.317434,19.941614,86.58,15.494503,22.090519,86.58,15.910528,21.438072,94.818
BarberSurgeons,Garden,2024/6/26,16,88,15,8,1,0,3430,3220,93.88,24.17,0,15.81,13.14,15.25,6.52,4.64,5.48,10.777651,18.759886,75.279,12.317434,19.941614,86.58,15.494503,22.090519,86.58,15.910528,21.438072,94.818
BarberSurgeons,Garden,2024/6/27,17,36,4,0,1,0,3430,3220,93.88,17.68,0,15.81,13.14,15.25,6.52,4.64,5.48,10.777651,18.759886,75.279,12.317434,19.941614,86.58,15.494503,22.090519,86.58,15.910528,21.438072,94.818
BarberSurgeons,Garden,2024/6/28,18,48,5,0,1,0,3430,3220,93.88,17.83,0,15.81,13.14,15.25,6.52,4.64,5.48,10.777651,18.759886,75.279,12.317434,19.941614,86.58,15.494503,22.090519,86.58,15.910528,21.438072,94.818
BarberSurgeons,Garden,2024/6/29,19,100,7,18,1,0,3430,3220,93.88,21.37,0,15.81,13.14,15.25,6.52,4.64,5.48,10.777651,18.759886,75.279,12.317434,19.941614,86.58,15.494503,22.090519,86.58,15.910528,21.438072,94.818
BarberSurgeons,Garden,2024/6/30,20,34,3,52,1,0,3430,3220,93.88,16.91,0,15.81,13.14,15.25,6.52,4.64,5.48,10.777651,18.759886,75.279,12.317434,19.941614,86.58,15.494503,22.090519,86.58,15.910528,21.438072,94.818
BarberSurgeons,Garden,2024/7/1,21,90,2,142,1,0,3430,3220,93.88,17.95,0,15.81,13.14,15.25,6.52,4.64,5.48,10.777651,18.759886,75.279,12.317434,19.941614,86.58,15.494503,22.090519,86.58,15.910528,21.438072,94.818
BirdBird,Extensive,2024/7/2,22,0,0,0,0,50,1142,750,65.67,17,0,4.31,4.14,4.46,0.09,0.04,0.02,25.942674,25.280668,77.68801,23.220787,20.848401,77.68801,20.740691,18.302311,77.68801,18.073104,17.08405,77.68801
BirdBird,Extensive,2024/7/3,23,0,0,0,0,50,1142,750,65.67,17.21,0,4.31,4.14,4.46,0.09,0.04,0.02,25.942674,25.280668,77.68801,23.220787,20.848401,77.68801,20.740691,18.302311,77.68801,18.073104,17.08405,77.68801
BirdBird,Extensive,2024/7/4,24,0,0,0,0,50,1142,750,65.67,17.21,0,4.31,4.14,4.46,0.09,0.04,0.02,25.942674,25.280668,77.68801,23.220787,20.848401,77.68801,20.740691,18.302311,77.68801,18.073104,17.08405,77.68801
BirdBird,Extensive,2024/7/5,25,0,0,0,0,50,1142,750,65.67,17.81,11.9,4.31,4.14,4.46,0.09,0.04,0.02,25.942674,25.280668,77.68801,23.220787,20.848401,77.68801,20.740691,18.302311,77.68801,18.073104,17.08405,77.68801
BirdBird,Extensive,2024/7/6,26,0,0,0,0,50,1142,750,65.67,14.26,0,4.31,4.14,4.46,0.09,0.04,0.02,25.942674,25.280668,77.68801,23.220787,20.848401,77.68801,20.740691,18.302311,77.68801,18.073104,17.08405,77.68801
BirdBird,Extensive,2024/7/7,27,0,0,0,0,50,1142,750,65.67,14.71,0.1,4.31,4.14,4.46,0.09,0.04,0.02,25.942674,25.280668,77.68801,23.220787,20.848401,77.68801,20.740691,18.302311,77.68801,18.073104,17.08405,77.68801
BirdBird,Extensive,2024/7/8,28,0,0,0,0,50,1142,750,65.67,16.3,4.4,4.31,4.14,4.46,0.09,0.04,0.02,25.942674,25.280668,77.68801,23.220787,20.848401,77.68801,20.740691,18.302311,77.68801,18.073104,17.08405,77.68801
CannonBridgeHouse,Intensive,2024/7/2,22,90,39,0,1,25,3775,1765,46.75,17.14,0,9.87,7.59,6.96,13.41,25.21,30.81,21.601073,9.87319,43.333,16.98159,14.35956,47.534,14.474687,15.544766,49.204,12.5785,15.339505,49.204
CannonBridgeHouse,Intensive,2024/7/3,23,96,15,0,1,25,3775,1765,46.75,17.77,0,9.87,7.59,6.96,13.41,25.21,30.81,21.601073,9.87319,43.333,16.98159,14.35956,47.534,14.474687,15.544766,49.204,12.5785,15.339505,49.204
CannonBridgeHouse,Intensive,2024/7/4,24,0,0,0,1,25,3775,1765,46.75,16.88,0,9.87,7.59,6.96,13.41,25.21,30.81,21.601073,9.87319,43.333,16.98159,14.35956,47.534,14.474687,15.544766,49.204,12.5785,15.339505,49.204
CannonBridgeHouse,Intensive,2024/7/5,25,8,0,0,1,25,3775,1765,46.75,16.58,11.9,9.87,7.59,6.96,13.41,25.21,30.81,21.601073,9.87319,43.333,16.98159,14.35956,47.534,14.474687,15.544766,49.204,12.5785,15.339505,49.204
CannonBridgeHouse,Intensive,2024/7/6,26,0,0,0,1,25,3775,1765,46.75,14.6,0,9.87,7.59,6.96,13.41,25.21,30.81,21.601073,9.87319,43.333,16.98159,14.35956,47.534,14.474687,15.544766,49.204,12.5785,15.339505,49.204
CannonBridgeHouse,Intensive,2024/7/7,27,73,12,0,1,25,3775,1765,46.75,14.99,0.1,9.87,7.59,6.96,13.41,25.21,30.81,21.601073,9.87319,43.333,16.98159,14.35956,47.534,14.474687,15.544766,49.204,12.5785,15.339505,49.204
CannonBridgeHouse,Intensive,2024/7/8,28,34,13,0,1,25,3775,1765,46.75,16.21,4.4,9.87,7.59,6.96,13.41,25.21,30.81,21.601073,9.87319,43.333,16.98159,14.35956,47.534,14.474687,15.544766,49.204,12.5785,15.339505,49.204
ClearyGarden,Garden,2024/7/2,22,66,61,0,0,0,1865,1097,58.82,17.87,0,8.37,5.34,5.18,0,1.08,5.18,10.009936,10.485675,27.961,11.040001,10.614789,27.961,11.891106,10.634839,37.375,11.497182,10.621986,39.505
ClearyGarden,Garden,2024/7/3,23,49,38,0,0,0,1865,1097,58.82,18.17,0,8.37,5.34,5.18,0,1.08,5.18,10.009936,10.485675,27.961,11.040001,10.614789,27.961,11.891106,10.634839,37.375,11.497182,10.621986,39.505
ClearyGarden,Garden,2024/7/4,24,47,26,0,0,0,1865,1097,58.82,17.85,0,8.37,5.34,5.18,0,1.08,5.18,10.009936,10.485675,27.961,11.040001,10.614789,27.961,11.891106,10.634839,37.375,11.497182,10.621986,39.505
ClearyGarden,Garden,2024/7/5,25,6,1,0,0,0,1865,1097,58.82,18.8,11.9,8.37,5.34,5.18,0,1.08,5.18,10.009936,10.485675,27.961,11.040001,10.614789,27.961,11.891106,10.634839,37.375,11.497182,10.621986,39.505
ClearyGarden,Garden,2024/7/6,26,60,72,0,0,0,1865,1097,58.82,15.25,0,8.37,5.34,5.18,0,1.08,5.18,10.009936,10.485675,27.961,11.040001,10.614789,27.961,11.891106,10.634839,37.375,11.497182,10.621986,39.505
ClearyGarden,Garden,2024/7/7,27,36,31,0,0,0,1865,1097,58.82,15.64,0.1,8.37,5.34,5.18,0,1.08,5.18,10.009936,10.485675,27.961,11.040001,10.614789,27.961,11.891106,10.634839,37.375,11.497182,10.621986,39.505
ClearyGarden,Garden,2024/7/8,28,5,0,0,0,0,1865,1097,58.82,18.21,4.4,8.37,5.34,5.18,0,1.08,5.18,10.009936,10.485675,27.961,11.040001,10.614789,27.961,11.891106,10.634839,37.375,11.497182,10.621986,39.505
Greyfriar,Garden,2024/6/18,8,85,42,0,0,0,3499,2239,63.99,18.21,0,10.15,6.79,8.36,0,0,0.05,7.517319,11.848362,35.608,16.926167,14.811683,52.34461,18.415268,15.357501,52.34461,16.38805,14.860191,64.07501
